@relation Station_46001_2018_02_23_10_23_45_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
270.676525,A
272.407313,A
272.298235,A
273.28426,A
272.369288,A
273.130054,A
274.441826,A
274.809815,A
274.075424,A
274.521006,A
275.357606,A
276.23683,A
276.424367,A
275.574929,A
273.895768,A
272.512324,A
273.188256,A
274.475864,A
275.570926,A
275.48941,A
274.746253,A
273.309578,A
271.327992,A
271.617117,A
274.272395,A
277.010148,A
277.282414,A
277.181561,A
276.338791,A
274.112199,A
272.543054,A
271.868537,A
272.553622,A
272.548396,A
273.355871,A
275.308766,A
275.639185,A
277.100683,A
278.63957,A
278.069464,A
277.935208,A
278.076364,A
277.949732,A
277.501839,A
274.568887,A
271.833816,A
269.532975,A
268.566544,A
268.361831,A
269.491083,A
270.386703,A
271.473565,A
271.349517,A
272.753159,A
273.287277,A
273.710935,A
274.276868,A
274.794063,A
275.118522,A
275.676734,A
275.626953,A
275.58042,A
274.813729,A
274.480522,A
274.182329,A
274.005805,A
274.127923,A
273.231045,A
272.626834,A
271.921178,A
272.306351,A
273.040667,A
272.65943,A
273.007513,A
273.661084,A
274.214396,A
274.625995,A
274.697419,A
274.972114,A
274.464636,A
274.056147,A
273.235441,A
272.766775,A
272.679678,A
272.855434,A
272.039003,A
271.559256,A
271.079408,A
270.913912,A
269.14243,A
271.171463,A
271.678196,A
272.261708,A
272.162821,A
273.068814,A
273.597953,A
272.035833,A
270.227322,A
269.443474,A
268.58044,A
267.612779,A
268.537104,A
268.679869,A
268.077657,A
267.278642,A
266.994383,A
268.291019,A
270.058474,A
272.413258,A
274.490643,A
275.52624,A
275.647479,A
275.748544,A
274.90634,A
274.531655,A
274.729316,A
276.07976,A
276.090445,A
277.112423,A
276.398088,A
276.877493,A
276.018108,A
275.85743,A
275.916769,A
275.524765,A
275.995588,A
276.930904,A
276.815865,A
276.418341,A
276.40387,A
275.809627,A
275.253426,A
275.353644,A
273.749737,A
272.586931,A
272.579789,A
272.094345,A
272.171559,A
274.67842,A
276.30262,A
277.339175,A
278.018052,A
276.961741,A
277.036654,A
277.217855,A
276.447463,A
277.05941,A
277.326915,A
277.587194,A
277.307136,A
278.162241,A
278.467271,A
278.526932,A
278.382063,A
277.714502,A
277.555891,A
276.939603,A
277.47373,A
277.365331,A
277.483455,A
276.729368,A
276.507528,A
276.302468,A
276.823717,A
277.073477,A
277.030669,A
276.92721,A
276.583309,A
276.388188,A
276.441376,A
276.490294,A
276.922734,A
277.699828,A
277.310115,A
276.735091,A
276.566242,A
276.095037,A
276.013791,A
276.200978,A
276.633447,A
276.522878,A
276.308539,A
277.105655,A
277.041984,A
276.691146,A
277.107019,A
276.952924,A
277.032016,A
277.10439,A
275.973592,A
276.117855,A
276.171588,A
275.719345,A
275.891439,A
276.382453,A
276.300756,A
276.457255,A
276.536956,A
275.93408,A
275.775098,A
276.382466,A
276.980135,A
276.550277,A
276.968841,A
276.722094,A
276.224525,A
276.238623,A
276.490744,A
276.139888,A
276.320777,A
275.902161,A
275.960381,A
275.537301,A
275.099188,A
274.102102,A
273.475282,A
273.003431,A
273.167448,A
273.561326,A
274.304708,A
274.707572,A
275.457195,A
276.138289,A
276.581756,A
276.653293,A
276.498227,A
276.624787,A
277.132343,A
276.529989,A
276.215196,A
275.73522,A
274.851004,A
274.235764,A
272.254085,A
270.577705,A
270.239296,A
271.022063,A
271.228906,A
271.465042,A
271.515191,A
272.010489,A
273.531719,A
276.563205,A
276.036973,A
276.292246,A
275.610948,A
274.791097,A
274.346031,A
273.555341,A
272.832799,A
271.606489,A
270.662886,A
269.563207,A
268.808922,A
269.615385,A
271.853478,A
272.403326,A
272.269038,A
274.244885,A
275.456496,A
276.632624,A
276.702812,A
276.578231,A
276.624255,A
275.690855,A
275.690816,A
275.293175,A
274.842948,A
274.947204,A
275.12541,A
274.919662,A
273.78338,A
272.631849,A
273.105927,A
272.8422,A
272.4898,A
272.038723,A
271.157128,A
270.521813,A
270.088127,A
270.044295,A
270.777933,A
271.576556,A
272.612042,A
273.530522,A
273.919309,A
273.367436,A
272.239037,A
271.619517,A
271.922171,A
272.16741,A
272.32629,A
272.435191,A
272.240945,A
273.857112,A
274.826527,A
275.353197,A
274.58522,A
274.529507,A
273.131546,A
272.880505,A
272.178526,A
271.857254,A
271.526719,A
271.246298,A
271.092773,A
271.654146,A
272.223087,A
272.68761,A
273.52252,A
273.116314,A
272.647739,A
272.520446,A
273.144366,A
273.634183,A
273.964599,A
274.251486,A
274.188827,A
273.866302,A
270.963634,A
270.625673,A
270.61824,A
271.248927,A
271.833796,A
272.908745,A
273.893292,A
272.705446,A
272.483545,A
272.627724,A
273.972152,A
274.350023,A
275.535131,A
276.063195,A
276.242215,A
275.918118,A
276.153048,A
275.701363,A
276.121752,A
275.676475,A
275.77914,A
275.024642,A
275.204737,A
275.695318,A
276.768895,A
276.564908,A
276.190772,A
276.454333,A
276.320176,A
276.637871,A
277.387805,A
276.938132,A
276.846757,A
276.664726,A
276.934311,A
276.922353,A
277.054034,A
276.777282,A
277.197549,A
277.178512,A
277.508611,A
276.693734,A
276.924487,A
276.540644,A
276.862955,A
276.147583,A
277.109682,A
276.957289,A
276.902534,A
276.685255,A
277.508602,A
276.630651,A
276.477698,A
276.185468,A
276.516903,A
275.948192,A
275.491216,A
275.97507,A
276.231798,A
277.398767,A
277.567354,A
276.898142,A
277.384995,A
276.951629,A
277.24253,A
276.672866,A
276.27578,A
276.413732,A
276.079834,A
275.416265,A
276.30661,A
276.55795,A
276.475049,A
275.943836,A
276.382033,A
276.009441,A
276.713012,A
276.273458,A
276.833399,A
276.653874,A
276.50019,A
276.293085,A
276.53759,A
276.664635,A
277.084565,A
277.481473,A
277.581702,A
277.379959,A
277.907455,A
277.858142,A
277.855026,A
277.218441,A
276.739849,A
277.22049,A
277.105794,A
277.493943,A
277.608039,A
278.062641,A
277.895269,A
277.892803,A
277.525542,A
277.499015,A
277.600005,A
277.649554,A
277.321441,A
277.798415,A
277.706439,A
277.334988,A
277.343793,A
277.618078,A
277.451089,A
277.845764,A
277.651922,A
277.956253,A
277.804604,A
278.016715,A
278.313039,A
278.361179,A
278.088566,A
278.345018,A
278.401695,A
278.183254,A
278.977966,A
278.568085,A
278.572508,A
278.34683,A
278.133613,A
277.9828,A
277.504781,A
277.785066,A
277.995924,A
277.391933,A
276.682806,A
277.076143,A
277.500631,A
277.349048,A
277.441979,A
277.948688,A
278.086845,A
277.863284,A
278.671226,A
278.451651,A
278.774836,A
279.476653,A
279.533928,A
277.677467,A
277.44051,A
277.327701,A
277.904721,A
278.004583,A
278.154618,A
277.939603,A
277.889739,A
278.250384,A
278.71487,A
278.335773,A
279.040881,A
278.86588,A
278.666558,A
278.36102,A
277.945222,A
277.659521,A
277.80038,A
277.929383,A
277.503897,A
277.306101,A
277.625923,A
277.361731,A
276.902834,A
277.248723,A
277.488286,A
277.839049,A
277.889878,A
277.491057,A
277.125274,A
277.621899,A
277.817615,A
277.427379,A
277.434627,A
278.282234,A
277.492513,A
277.259407,A
277.488726,A
278.103782,A
277.462962,A
278.324964,A
278.876109,A
279.112519,A
277.776565,A
277.109423,A
277.20148,A
277.617347,A
277.830153,A
278.02858,A
278.140391,A
278.158901,A
277.683961,A
277.215347,A
277.265874,A
277.772583,A
277.575702,A
277.102531,A
277.885317,A
277.525817,A
277.256209,A
276.432227,A
276.663018,A
275.891288,A
276.272462,A
276.763789,A
278.398113,A
278.505308,A
277.937807,A
277.788377,A
277.943257,A
278.004928,A
277.629373,A
277.889122,A
278.198183,A
278.720749,A
277.967571,A
277.965619,A
278.258402,A
278.459313,A
278.264153,A
277.77866,A
278.469205,A
278.476779,A
278.642069,A
278.728698,A
278.645897,A
278.830816,A
278.647909,A
278.621603,A
279.10143,A
279.2557,A
279.498567,A
279.422016,A
279.861972,A
279.943655,A
279.630163,A
