@relation Station_46001_2018_03_05_13_56_1.arff

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute Class_WDIR {A}

@data
278.832627,99647.543972,-20.107006,12.576916,A
278.457813,99603.817292,-11.681074,18.299549,A
277.564018,99732.765893,-4.57416,13.667279,A
277.586837,99593.006645,1.95523,11.172346,A
277.194724,99675.199952,3.593925,11.228541,A
277.506237,99929.697694,3.293929,12.603894,A
276.864552,100121.181877,2.734818,9.573246,A
276.665882,100078.197982,-3.065469,9.238145,A
277.421857,99909.321946,-5.532709,9.659357,A
277.496097,99937.820602,-2.498653,9.852769,A
277.619174,100030.38265,-0.715103,4.895929,A
277.529945,99988.069083,-1.631742,5.329649,A
276.950043,100187.946254,1.083862,4.856875,A
276.614732,100421.30631,0.445636,4.33279,A
277.205867,100750.248486,-0.869128,2.49389,A
277.577628,101035.313553,-4.296161,0.949107,A
277.870769,100993.375587,-5.817207,-3.397668,A
277.784684,100608.454501,-5.193634,-3.67172,A
277.444528,100191.39593,-2.458983,1.027394,A
277.312064,99852.675007,0.065243,5.326569,A
277.280214,99565.498137,3.26471,9.488232,A
277.167231,99653.862388,7.006151,5.313361,A
276.654892,99703.455614,-0.978186,3.729468,A
277.623667,99157.454576,-3.096575,9.694591,A
277.955887,98829.392648,4.449606,13.813471,A
276.982023,98708.083086,4.375348,16.625458,A
277.027401,98619.731881,8.325564,12.808455,A
276.978741,98908.66939,11.349304,9.88882,A
277.30952,99334.460886,11.279058,6.79483,A
277.146994,99662.384524,9.687245,2.941211,A
276.965479,100034.521768,10.682327,-3.648682,A
276.563343,100602.235971,10.729927,-7.614854,A
276.685697,101145.24864,10.395,-9.441315,A
276.233822,101851.185876,7.853286,-9.283085,A
276.131282,102413.279399,8.511423,-4.168305,A
276.452748,102501.121631,8.066928,0.992169,A
277.458194,102444.172226,7.732359,5.749493,A
276.755182,102052.790591,2.135006,12.024494,A
277.881072,101890.085199,6.486946,2.21734,A
277.205943,102319.254946,4.016659,-0.387883,A
276.532031,102400.358078,-1.330687,3.442686,A
278.302353,101638.904428,-8.533613,8.933904,A
278.326802,101157.21768,0.29119,7.357144,A
278.06666,101643.426984,7.716897,0.164422,A
277.488643,102120.587419,6.242709,-2.345196,A
276.952662,102289.251825,0.527656,2.854518,A
277.038161,102148.728213,-1.710655,5.92005,A
278.314251,102006.915021,-0.493209,8.936679,A
279.663592,101924.25227,2.23125,8.629061,A
279.376238,101937.212763,2.813293,10.371586,A
279.753619,101936.90962,3.539342,8.966301,A
278.724482,101821.739811,2.34783,11.512723,A
279.984531,101618.515378,2.823584,16.093993,A
280.176644,101554.910772,3.331278,15.57216,A
280.03615,101375.321671,5.224213,12.832622,A
278.177147,101626.05385,8.988079,11.102011,A
278.302744,101964.771409,4.438138,5.943508,A
