air,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,FLUXOFENERGY
278.764702,?,?,?,3.4,8.33,6.41,?,991,?,4.9,?,?,?,36.308804
278.591687,?,?,?,3.31,8.33,6.17,?,991,?,4.9,?,?,?,33.123577
278.325925,?,?,?,5.97,12.12,8.3,?,991.8,?,4.9,?,?,?,144.95154
278.595213,?,?,?,6.32,12.9,8.65,?,994.8,?,4.9,?,?,?,169.295862
277.955811,?,?,?,5.95,13.79,8.51,?,999.5,?,4.9,?,?,?,147.624885
278.624062,?,?,?,4.99,13.79,8.39,?,1003.5,?,4.9,?,?,?,102.366801
277.684556,?,?,?,3.8,11.43,6.92,?,1006.9,?,4.9,?,?,?,48.963152
277.900705,?,?,?,4.17,10,7.3,?,1011.5,?,4.9,?,?,?,62.200095
278.054398,?,?,?,?,?,?,?,1016.8,?,4.9,?,?,?,?
278.188425,?,?,?,2.82,10.81,6.45,?,1022.3,?,4.9,?,?,?,25.13356
278.9183,?,?,?,2.36,10,6.39,?,1024.7,?,4.9,?,?,?,17.438975
278.2456,?,?,?,2.11,10.81,7.18,?,1025.7,?,4.9,?,?,?,15.663378
278.786094,?,?,?,?,?,?,?,1022.9,?,4.9,?,?,?,?
278.557641,?,?,?,?,?,?,?,1016.8,?,4.9,?,?,?,?
279.328592,?,?,?,?,?,?,?,1005.2,?,4.9,?,?,?,?
280.273527,?,?,?,6.06,12.9,8.34,?,999,?,4.9,?,?,?,150.074664
280.688654,?,?,?,5.06,11.43,8.38,?,996.3,?,4.9,?,?,?,105.133502
280.116797,?,?,?,4.78,12.12,7.77,?,995.1,?,4.9,?,?,?,86.990713
279.577794,?,?,?,4.55,12.9,8.17,?,999.7,?,4.9,?,?,?,82.878318
280.059876,?,?,?,4.13,12.12,7.86,?,1004.1,?,4.9,?,?,?,65.692945
279.517903,?,?,?,3.5,10.81,7.98,?,1006.6,?,4.9,?,?,?,47.89995
279.4953,?,?,?,3.72,12.12,7.73,?,1006.7,?,4.9,?,?,?,52.415708
279.857076,?,?,?,3.49,10.81,7,?,1006,?,4.9,?,?,?,41.777743
278.998885,?,?,?,?,?,?,?,1007,?,4.9,?,?,?,?
278.649873,?,?,?,2.65,10.81,7.07,?,1006.1,?,4.9,?,?,?,24.328047
278.718722,?,?,?,2.82,11.43,7.81,?,1005,?,4.9,?,?,?,30.43304
279.168952,?,?,?,2.51,11.43,6.26,?,1002.9,?,4.9,?,?,?,19.324927
278.886426,?,?,?,2.64,9.09,5.83,?,999.1,?,4.9,?,?,?,19.910056
279.43472,?,?,?,3.05,12.12,6.54,?,994.4,?,4.9,?,?,?,29.810791
279.112143,?,?,?,2.77,11.43,6.91,?,994.4,?,4.9,?,?,?,25.979672
278.834369,?,?,?,3.63,12.9,8.66,?,995.8,?,4.9,?,?,?,55.914857
277.805399,?,?,?,3.25,13.79,7.87,?,995.9,?,4.9,?,?,?,40.732169
278.141047,?,?,?,3.29,12.12,8.43,?,994.7,?,4.9,?,?,?,44.71111
277.732462,?,?,?,2.55,12.9,7.69,?,993,?,4.9,?,?,?,24.50207
277.596325,?,?,?,2.67,11.43,8.12,?,993.5,?,4.8,?,?,?,28.364467
277.925831,?,?,?,2.32,10.81,6.88,?,993.8,?,4.9,?,?,?,18.145147
278.085829,?,?,?,2.52,5.88,5.83,?,996.5,?,4.9,?,?,?,18.141188
277.672972,?,?,?,3.26,8.33,6.49,?,998.6,?,4.8,?,?,?,33.796831
277.457644,?,?,?,3.29,9.09,6.83,?,1000.1,?,4.8,?,?,?,36.225015
277.210831,?,?,?,2.8,10,6.82,?,998.2,?,4.8,?,?,?,26.199712
276.800108,?,?,?,2.51,11.43,7.29,?,996.7,?,4.8,?,?,?,22.504587
276.725106,?,?,?,2.04,10,6.36,?,995.5,?,4.8,?,?,?,12.96921
276.78291,?,?,?,2.08,10,5.77,?,994.4,?,4.8,?,?,?,12.232031
276.969069,?,?,?,2.31,12.12,6.23,?,990.1,?,4.8,?,?,?,16.289512
277.058267,?,?,?,2.65,10.81,6.59,?,983,?,4.7,?,?,?,22.676355
278.222675,?,?,?,2.8,7.14,6.08,?,982.2,?,4.7,?,?,?,23.356928
277.805485,?,?,?,3.1,8.33,6.6,?,984.2,?,4.7,?,?,?,31.07874
278.334189,?,?,?,3.97,9.09,6.94,?,987.2,?,4.7,?,?,?,53.596517
278.16576,?,?,?,4.27,12.9,6.99,?,992.5,?,4.7,?,?,?,62.449506
277.569212,?,?,?,5.43,12.12,7.93,?,998.4,?,4.7,?,?,?,114.569476
277.36083,?,?,?,4.13,13.79,7.39,?,1004.7,?,4.7,?,?,?,61.764741
278.709111,?,?,?,3.69,11.43,7.58,?,1002.1,?,4.7,?,?,?,50.572919
278.619646,?,?,?,?,?,?,?,984.7,?,4.7,?,?,?,?
279.396326,?,?,?,3.55,7.69,6.76,?,986.8,?,4.7,?,?,?,41.744521
279.818567,?,?,?,3.95,9.09,6.86,?,986.5,?,4.7,?,?,?,52.446244
277.673682,?,?,?,6.38,11.43,8.29,?,988.2,?,4.7,?,?,?,165.345343
278.388332,?,?,?,6.22,12.12,8.41,?,1000.7,?,4.7,?,?,?,159.431028
278.527409,?,?,?,5.21,10.81,8.12,?,1007.6,?,4.7,?,?,?,108.000945
280.053171,?,?,?,4.68,11.43,7.49,?,1006.5,?,4.7,?,?,?,80.383998
279.41622,?,?,?,5.5,10.81,7.94,?,1007.1,?,4.8,?,?,?,117.69065
280.408265,?,?,?,4.2,12.12,7.47,?,1006,?,4.8,?,?,?,64.567692
279.959512,?,?,?,3.85,10.81,6.99,?,994.3,?,4.8,?,?,?,50.768545
279.496244,?,?,?,4.64,12.9,7.39,?,988.9,?,4.8,?,?,?,77.960835
279.454399,?,?,?,4.09,11.43,7.3,?,999.7,?,4.8,?,?,?,59.836414
279.36185,?,?,?,4.83,12.9,8.55,?,1002.4,?,4.7,?,?,?,97.736427
280.392657,?,?,?,4.61,13.79,8.24,?,996.5,?,4.8,?,?,?,85.807479
280.04092,?,?,?,4.78,12.12,6.85,?,988.1,?,4.8,?,?,?,76.690655
279.613362,?,?,?,5.33,12.9,7.78,?,987.1,?,4.8,?,?,?,108.300409
280.253956,?,?,?,4.8,12.9,8.36,?,988.6,?,4.8,?,?,?,94.381056
279.276116,?,?,?,5.84,12.9,8.99,?,989.4,?,4.8,?,?,?,150.238579
278.671046,?,?,?,4.8,13.79,8.24,?,991.3,?,4.8,?,?,?,93.026304
277.703512,?,?,?,4.92,12.9,8.18,?,999,?,4.8,?,?,?,97.024092
277.874151,?,?,?,4.76,12.12,8.16,?,1006.3,?,4.8,?,?,?,90.594148
278.39035,?,?,?,4.95,12.9,9.31,?,1008.4,?,4.7,?,?,?,111.777955
279.121276,?,?,?,3.83,11.43,7.17,?,1003.3,?,4.8,?,?,?,51.536246
