@relation Station_46001_2018_07_09_09_59_1.arff

@attribute pres numeric
@attribute Class_WDIR {A}

@data
99647.543972,A
99603.817292,A
99732.765893,A
99593.006645,A
99675.199952,A
99929.697694,A
100121.181877,A
100078.197982,A
99909.321946,A
99937.820602,A
100030.38265,A
99988.069083,A
100187.946254,A
100421.30631,A
100750.248486,A
101035.313553,A
100993.375587,A
100608.454501,A
100191.39593,A
99852.675007,A
99565.498137,A
99653.862388,A
99703.455614,A
99157.454576,A
98829.392648,A
98708.083086,A
98619.731881,A
98908.66939,A
99334.460886,A
99662.384524,A
100034.521768,A
100602.235971,A
101145.24864,A
101851.185876,A
102413.279399,A
102501.121631,A
102444.172226,A
102052.790591,A
101890.085199,A
102319.254946,A
102400.358078,A
101638.904428,A
101157.21768,A
101643.426984,A
102120.587419,A
102289.251825,A
102148.728213,A
102006.915021,A
101924.25227,A
101937.212763,A
101936.90962,A
101821.739811,A
101618.515378,A
101554.910772,A
101375.321671,A
101626.05385,A
101964.771409,A
102123.709738,A
102279.422465,A
102713.811909,A
103092.152129,A
102993.585063,A
102537.192441,A
101809.088006,A
101096.709961,A
100692.13088,A
100806.575904,A
101175.844317,A
101489.446536,A
101792.885419,A
102116.11934,A
102167.828032,A
101994.037422,A
101724.644576,A
101508.096881,A
101263.591467,A
101049.164929,A
100984.008648,A
101227.337881,A
101099.91709,A
101114.833644,A
101039.504731,A
100728.13929,A
100210.716653,A
99821.534461,A
99731.256373,A
99467.491495,A
99336.726697,A
99114.878149,A
98956.615143,A
98759.534937,A
98805.664246,A
98876.873153,A
99179.8673,A
99541.791804,A
99689.297199,A
99642.544059,A
99818.816865,A
100108.91179,A
100403.130702,A
100570.066242,A
100756.372645,A
100905.933251,A
101070.878058,A
101269.065494,A
101564.986921,A
101797.312933,A
101801.414067,A
101862.018834,A
101863.764727,A
101772.561645,A
101529.833875,A
100910.436555,A
100121.727702,A
100164.176458,A
100716.036282,A
101007.613196,A
101077.55037,A
100973.565264,A
100823.740861,A
100864.65398,A
101082.576933,A
101255.544913,A
101420.373644,A
101335.402621,A
100922.48161,A
100622.655062,A
100573.429398,A
100472.850256,A
100370.693464,A
100390.330859,A
100132.141171,A
99546.889916,A
99197.454683,A
99613.980059,A
99876.203415,A
100180.226891,A
100316.632644,A
100517.902048,A
100507.5375,A
100520.218589,A
100369.007536,A
100220.89513,A
100038.13444,A
100036.913328,A
100220.423116,A
100474.749049,A
100765.256226,A
100944.765283,A
100961.386539,A
100607.426564,A
99954.906057,A
99909.064132,A
100181.772789,A
100606.590293,A
101177.447581,A
101176.175982,A
100502.195242,A
99894.691799,A
99664.911534,A
99198.37902,A
99110.628806,A
99879.069438,A
100447.152024,A
100216.833866,A
100636.541623,A
101185.000826,A
101413.15136,A
101422.824738,A
101289.709172,A
101327.330635,A
101192.629449,A
101261.819479,A
101460.686325,A
