@relation p1_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
270.461212,A
272.105105,A
271.945128,A
272.907075,A
272.107021,A
273.042803,A
274.341151,A
274.614225,A
273.865906,A
274.323684,A
275.17536,A
276.070892,A
276.241167,A
275.343415,A
273.614265,A
272.184552,A
273.063093,A
274.43834,A
275.485573,A
275.342273,A
274.575892,A
273.022595,A
271.098975,A
271.578074,A
274.315009,A
276.945587,A
277.166972,A
277.015337,A
276.039544,A
273.838981,A
272.345062,A
271.744497,A
272.475873,A
272.447815,A
273.293351,A
275.266944,A
275.542258,A
277.101115,A
278.514211,A
277.965883,A
277.8378,A
278.013077,A
277.837821,A
277.287855,A
274.242889,A
271.459848,A
269.192332,A
268.354522,A
268.148973,A
269.292851,A
270.13841,A
271.264794,A
271.109243,A
272.502012,A
273.027295,A
273.504785,A
274.106446,A
274.581166,A
274.905336,A
275.513102,A
275.460876,A
275.385048,A
274.63339,A
274.338933,A
274.013106,A
273.840062,A
274.066412,A
273.187784,A
272.553612,A
271.830019,A
272.180038,A
272.961965,A
272.532252,A
272.855867,A
273.533928,A
274.115858,A
274.541698,A
274.589471,A
274.813669,A
274.31589,A
273.842859,A
272.966473,A
272.510918,A
272.436187,A
272.611462,A
271.786747,A
271.367577,A
270.894524,A
270.688402,A
268.91368,A
270.961466,A
271.488392,A
272.132246,A
272.032255,A
272.958084,A
273.41312,A
271.738436,A
269.964262,A
269.165933,A
268.346766,A
267.377036,A
268.355628,A
268.488134,A
267.935889,A
267.045639,A
266.786739,A
268.117014,A
270.014479,A
272.338097,A
274.375318,A
275.390054,A
275.516984,A
275.590052,A
274.741724,A
274.417535,A
274.671956,A
276.019184,A
276.014192,A
277.011969,A
276.284473,A
276.761981,A
275.887829,A
275.74115,A
275.839483,A
275.438906,A
275.918635,A
276.850035,A
276.691154,A
276.317543,A
276.344468,A
275.638959,A
275.014254,A
275.072041,A
273.413176,A
272.337868,A
272.420333,A
271.995037,A
272.150572,A
274.623074,A
276.173104,A
277.242248,A
277.860883,A
276.781161,A
276.940037,A
277.139463,A
276.368085,A
276.93559,A
277.215316,A
277.490025,A
277.217531,A
278.043365,A
278.31478,A
278.411975,A
278.228376,A
277.612533,A
277.436154,A
276.841136,A
277.366428,A
277.237812,A
277.391137,A
276.611432,A
276.386135,A
276.191156,A
276.718095,A
276.940051,A
276.914218,A
276.790615,A
276.461434,A
276.287249,A
276.336142,A
276.384485,A
276.86864,A
277.59226,A
277.218659,A
276.644473,A
276.468639,A
276.016958,A
275.938353,A
276.166959,A
276.590568,A
276.498339,A
276.223083,A
276.988365,A
276.96141,A
276.636119,A
277.062509,A
276.835034,A
276.940585,A
277.015866,A
275.833374,A
276.039465,A
276.090026,A
275.611423,A
275.811416,A
276.345022,A
276.210288,A
276.359178,A
276.402529,A
275.807525,A
275.692814,A
276.293917,A
276.900586,A
276.436135,A
276.888361,A
276.613091,A
276.112543,A
276.143926,A
276.419746,A
276.064187,A
276.213644,A
275.785594,A
275.893368,A
275.444476,A
274.993926,A
273.968101,A
273.371436,A
272.867555,A
273.041156,A
273.469753,A
274.275295,A
274.670287,A
275.392802,A
276.089457,A
276.513642,A
276.564193,A
276.465286,A
276.538928,A
277.090568,A
276.419204,A
276.14391,A
275.59005,A
274.662569,A
273.962593,A
271.937335,A
270.236776,A
269.962045,A
270.757037,A
270.986738,A
271.242848,A
271.405601,A
271.896704,A
273.531958,A
276.501134,A
275.942253,A
276.188356,A
275.482807,A
274.661419,A
274.218103,A
273.386717,A
272.609239,A
271.3362,A
270.469791,A
269.372008,A
268.623126,A
269.377852,A
271.685599,A
272.213666,A
272.163637,A
274.240544,A
275.448886,A
276.565853,A
276.637797,A
276.520294,A
276.576975,A
275.622521,A
275.595591,A
275.168081,A
274.77142,A
274.841702,A
274.965331,A
274.687861,A
273.541757,A
272.43895,A
273.020859,A
272.722554,A
272.401702,A
271.898931,A
270.940071,A
270.260914,A
269.834527,A
269.78119,A
270.531755,A
271.30536,A
272.357026,A
273.20427,A
273.607602,A
273.010394,A
271.965914,A
271.307044,A
271.650353,A
271.957008,A
272.112018,A
272.259772,A
272.089487,A
273.691174,A
274.695595,A
275.210314,A
274.350904,A
274.248682,A
272.879533,A
272.60369,A
271.95701,A
271.633406,A
271.36477,A
271.063122,A
270.911999,A
271.4806,A
272.110312,A
272.558654,A
273.330611,A
272.905337,A
272.495606,A
272.363657,A
272.986162,A
273.513653,A
273.866972,A
274.142263,A
274.013671,A
273.666462,A
270.683431,A
270.353132,A
270.38229,A
271.062004,A
271.606468,A
272.653685,A
273.635635,A
272.493404,A
272.262022,A
272.462005,A
273.88836,A
274.348345,A
275.519168,A
275.961418,A
276.109754,A
275.81809,A
276.037825,A
275.557545,A
275.980601,A
275.615853,A
275.711412,A
274.905868,A
275.057534,A
275.595602,A
276.664189,A
276.429471,A
276.059197,A
276.340595,A
276.188383,A
276.485597,A
277.258081,A
276.811983,A
276.736694,A
276.560307,A
276.806986,A
276.839471,A
276.93504,A
276.653082,A
277.082808,A
277.137242,A
277.437233,A
276.608071,A
276.863623,A
276.465302,A
276.813067,A
276.061412,A
277.010308,A
276.889461,A
276.814755,A
276.535049,A
277.359212,A
276.514201,A
276.361417,A
276.034494,A
276.333945,A
275.838923,A
275.411962,A
275.910296,A
276.188898,A
277.366956,A
277.516407,A
276.811419,A
277.337797,A
276.913626,A
277.163083,A
276.56254,A
276.088953,A
276.267001,A
275.937815,A
275.316984,A
276.215877,A
276.493914,A
276.413633,A
275.862517,A
276.288923,A
275.914194,A
276.640573,A
276.187793,A
276.763626,A
276.592792,A
276.46917,A
276.213086,A
276.410313,A
276.5939,A
276.991143,A
277.309224,A
277.486696,A
277.288364,A
277.780037,A
277.763087,A
277.819734,A
277.168069,A
276.637255,A
277.138353,A
277.069179,A
277.416967,A
277.50864,A
277.963095,A
277.816421,A
277.790039,A
277.436683,A
277.415317,A
277.512537,A
277.565303,A
277.208643,A
277.686698,A
