@relation Station_46001_2018_02_23_10_23_1.arff

@attribute air numeric
@attribute WDIR numeric

@data
270.461212,9
272.105105,5
271.945128,352
272.907075,342
272.107021,310
273.042803,287
274.341151,280
274.614225,255
273.865906,268
274.323684,79
275.17536,73
276.070892,54
276.241167,33
275.343415,32
273.614265,333
272.184552,314
273.063093,295
274.43834,262
275.485573,196
275.342273,236
274.575892,216
273.022595,330
271.098975,309
271.578074,90
274.315009,95
276.945587,116
277.166972,175
277.015337,172
276.039544,271
273.838981,303
272.345062,270
271.744497,291
272.475873,287
272.447815,290
273.293351,264
275.266944,168
275.542258,151
277.101115,146
278.514211,170
277.965883,198
277.8378,178
278.013077,180
277.837821,183
277.287855,189
274.242889,214
271.459848,273
269.192332,267
268.354522,252
268.148973,310
269.292851,304
270.13841,303
271.264794,318
271.109243,317
272.502012,326
273.027295,316
273.504785,337
274.106446,313
274.581166,308
274.905336,317
275.513102,343
275.460876,349
275.385048,313
274.63339,12
274.338933,0
274.013106,2
273.840062,333
274.066412,112
273.187784,117
272.553612,103
271.830019,108
272.180038,55
272.961965,81
272.532252,88
272.855867,87
273.533928,63
274.115858,69
274.541698,57
274.589471,45
274.813669,35
274.31589,17
273.842859,354
272.966473,315
272.510918,287
272.436187,258
272.611462,240
271.786747,261
271.367577,226
270.894524,242
270.688402,212
268.91368,44
270.961466,90
271.488392,246
272.132246,170
272.032255,206
272.958084,273
273.41312,300
271.738436,293
269.964262,254
269.165933,252
268.346766,267
267.377036,270
268.355628,262
268.488134,263
267.935889,259
267.045639,274
266.786739,281
268.117014,232
270.014479,172
272.338097,76
274.375318,92
275.390054,49
275.516984,45
275.590052,23
274.741724,355
274.417535,280
274.671956,160
276.019184,138
276.014192,131
277.011969,187
276.284473,238
276.761981,237
275.887829,334
275.74115,337
275.839483,281
275.438906,126
275.918635,110
276.850035,129
276.691154,165
276.317543,203
276.344468,175
275.638959,179
275.014254,196
275.072041,351
273.413176,315
272.337868,283
272.420333,266
271.995037,259
272.150572,157
274.623074,89
276.173104,76
277.242248,98
277.860883,108
276.781161,143
276.940037,138
277.139463,122
276.368085,109
276.93559,94
277.215316,84
277.490025,102
277.217531,78
278.043365,76
278.31478,75
278.411975,87
278.228376,90
277.612533,94
277.436154,119
276.841136,159
277.366428,136
277.237812,112
277.391137,69
276.611432,7
276.386135,272
276.191156,180
276.718095,79
276.940051,101
276.914218,181
276.790615,159
276.461434,187
276.287249,209
276.336142,230
276.384485,219
276.86864,154
277.59226,187
277.218659,183
276.644473,258
276.468639,272
276.016958,276
275.938353,236
276.166959,170
276.590568,132
276.498339,123
276.223083,133
276.988365,246
276.96141,223
276.636119,181
277.062509,117
276.835034,188
276.940585,166
277.015866,210
275.833374,225
276.039465,210
276.090026,240
275.611423,243
275.811416,173
276.345022,148
276.210288,253
276.359178,263
276.402529,246
275.807525,209
275.692814,124
276.293917,107
276.900586,153
276.436135,202
276.888361,251
276.613091,269
276.112543,256
276.143926,258
276.419746,291
276.064187,279
276.213644,254
275.785594,253
275.893368,250
275.444476,249
274.993926,272
273.968101,280
273.371436,327
272.867555,313
273.041156,300
273.469753,310
274.275295,288
274.670287,270
275.392802,229
276.089457,192
276.513642,203
276.564193,198
276.465286,204
276.538928,195
277.090568,203
276.419204,240
276.14391,232
275.59005,303
274.662569,292
273.962593,308
271.937335,306
270.236776,321
269.962045,311
270.757037,305
270.986738,291
271.242848,250
271.405601,276
271.896704,256
273.531958,140
276.501134,249
275.942253,247
276.188356,233
275.482807,234
274.661419,237
274.218103,252
273.386717,271
272.609239,269
271.3362,262
270.469791,269
269.372008,275
268.623126,280
269.377852,320
271.685599,299
272.213666,345
272.163637,235
274.240544,212
275.448886,196
276.565853,258
276.637797,261
276.520294,265
276.576975,264
275.622521,63
275.595591,50
275.168081,29
274.77142,23
274.841702,20
274.965331,353
274.687861,3
273.541757,325
272.43895,300
273.020859,253
272.722554,278
272.401702,293
271.898931,339
270.940071,322
270.260914,332
269.834527,306
269.78119,278
270.531755,324
271.30536,310
272.357026,299
273.20427,321
273.607602,339
273.010394,328
271.965914,314
271.307044,207
