#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 999 99.0 99.0  2.98 10.00  7.48 999 1029.4 999.0   7.2 999.0 99.0 99.00
2015 01 01 00 50 999 99.0 99.0  3.14 10.00  7.36 999 1028.3 999.0   7.1 999.0 99.0 99.00
2015 01 01 01 50 999 99.0 99.0  2.88 10.00  7.11 999 1027.4 999.0   7.1 999.0 99.0 99.00
2015 01 01 02 50 999 99.0 99.0  2.61  9.09  7.00 999 1026.2 999.0   7.1 999.0 99.0 99.00
2015 01 01 03 50 999 99.0 99.0  2.39 10.00  6.95 999 1025.2 999.0   6.9 999.0 99.0 99.00
2015 01 01 04 50 999 99.0 99.0  2.17 10.00  6.72 999 1023.4 999.0   6.9 999.0 99.0 99.00
2015 01 01 05 50 999 99.0 99.0  2.10 10.00  6.25 999 1022.2 999.0   7.0 999.0 99.0 99.00
2015 01 01 06 50 999 99.0 99.0  2.08 10.00  5.98 999 1020.8 999.0   7.0 999.0 99.0 99.00
2015 01 01 07 50 999 99.0 99.0  2.02 10.00  5.79 999 1018.9 999.0   7.0 999.0 99.0 99.00
2015 01 01 08 50 999 99.0 99.0  2.34 10.00  5.67 999 1016.5 999.0   7.1 999.0 99.0 99.00
2015 01 01 09 50 999 99.0 99.0  2.50  6.25  5.46 999 1014.2 999.0   6.9 999.0 99.0 99.00
2015 01 01 10 50 999 99.0 99.0  2.48  5.88  5.43 999 1013.1 999.0   7.0 999.0 99.0 99.00
2015 01 01 11 50 999 99.0 99.0  2.91  6.25  5.56 999 1011.9 999.0   7.0 999.0 99.0 99.00
2015 01 01 12 50 999 99.0 99.0  3.08  6.25  5.58 999 1011.7 999.0   7.0 999.0 99.0 99.00
2015 01 01 13 50 999 99.0 99.0  2.90  6.67  5.47 999 1011.3 999.0   7.0 999.0 99.0 99.00
2015 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1011.1 999.0   7.1 999.0 99.0 99.00
2015 01 01 15 50 999 99.0 99.0  3.21  7.69  6.09 999 1011.2 999.0   7.0 999.0 99.0 99.00
2015 01 01 16 50 999 99.0 99.0  3.20  8.33  6.26 999 1011.5 999.0   6.7 999.0 99.0 99.00
