#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 01 00 50 138 18.0 22.5  4.71 10.00  6.97 999  994.1   5.5   4.7 999.0 99.0 99.00
2013 01 01 01 50 137 16.4 20.6  5.72 10.00  7.51 999  993.2   5.2   4.7 999.0 99.0 99.00
2013 01 01 02 50 143 15.3 18.9  5.87  9.09  7.82 999  993.2   5.4   4.6 999.0 99.0 99.00
2013 01 01 03 50 152 14.3 18.8  6.20 10.81  7.98 999  993.9   5.6   4.6 999.0 99.0 99.00
2013 01 01 04 50 159 14.9 18.7  6.09 11.43  7.86 999  993.8   5.5   4.6 999.0 99.0 99.00
2013 01 01 05 50 162 14.1 17.9  6.47 11.43  8.22 999  994.5   5.4   4.6 999.0 99.0 99.00
2013 01 01 06 50 165 13.6 17.0  6.51 12.12  8.44 999  994.6   5.2   4.6 999.0 99.0 99.00
2013 01 01 07 50 161 13.2 17.6  8.42 13.79  9.74 999  995.5   5.0   4.6 999.0 99.0 99.00
2013 01 01 08 50 159 13.2 17.6  8.46 16.00 10.03 999  996.2   5.0   4.6 999.0 99.0 99.00
2013 01 01 09 50 160 12.8 16.3  8.92 12.90 10.09 999  995.8   4.8   4.6 999.0 99.0 99.00
2013 01 01 10 50 161 12.0 15.7  8.16 16.00 10.08 999  995.6   4.7   4.6 999.0 99.0 99.00
2013 01 01 11 50 168 11.8 14.4  8.00 13.79  9.75 999  996.2   4.7   4.6 999.0 99.0 99.00
2013 01 01 12 50 163 11.3 13.9  7.34 13.79  9.54 999  996.0   4.5   4.6 999.0 99.0 99.00
2013 01 01 13 50 167 10.7 14.1  7.34 16.00  9.80 999  995.4   4.5   4.6 999.0 99.0 99.00
2013 01 01 14 50 170  9.9 12.9  7.67 14.81  9.76 999  995.5   4.5   4.6 999.0 99.0 99.00
2013 01 01 15 50 179  9.5 12.3  7.24 14.81  9.83 999  994.8   4.3   4.6 999.0 99.0 99.00
2013 01 01 16 50 177 10.2 12.9  7.48 14.81 10.08 999  994.9   4.4   4.6 999.0 99.0 99.00
2013 01 01 17 50 184 10.5 13.8  6.85 14.81  9.81 999  994.8   4.3   4.5 999.0 99.0 99.00
2013 01 01 18 50 183 10.6 14.7  6.52 13.79  9.33 999  994.7   4.3   4.5 999.0 99.0 99.00
2013 01 01 19 50 179  9.2 11.5  5.52 13.79  8.69 999  994.7   3.7   4.5 999.0 99.0 99.00
2013 01 01 20 50 171 10.2 12.1  5.68 13.79  8.63 999  994.3   4.2   4.5 999.0 99.0 99.00
2013 01 01 21 50 184 10.3 13.3  5.49 12.90  8.55 999  993.8   3.9   4.5 999.0 99.0 99.00
