@relation 'Station 46001_2.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
241,88170,?,?,?,?,?,?,?,?,?,?,?,?,?
240,93890,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92170,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92610,?,?,?,?,?,?,?,?,?,?,?,?,?
247,88900,?,?,?,?,?,?,?,?,?,?,?,?,?
245,90230,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89280,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89280,?,?,?,?,?,?,?,?,?,?,?,?,?
242,88200,?,?,?,?,?,?,?,?,?,?,?,?,?
240,87850,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,45020,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91070,?,?,?,?,?,?,?,?,?,?,?,?,?
239,89780,?,?,?,?,?,?,?,?,?,?,?,?,?
242,93370,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91170,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88760,?,?,?,?,?,?,?,?,?,?,?,?,?
249,91340,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88350,?,?,?,?,?,?,?,?,?,?,?,?,?
246,44620,?,?,?,?,?,?,?,?,?,?,?,?,?
246,86310,?,?,?,?,?,?,?,?,?,?,?,?,?
247,85920,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93040,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91520,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89300,?,?,?,?,?,?,?,?,?,?,?,?,?
247,93830,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91390,?,?,?,?,?,?,?,?,?,?,?,?,?
248,93370,?,?,?,?,?,?,?,?,?,?,?,?,?
250,90330,?,?,?,?,?,?,?,?,?,?,?,?,?
251,91220,?,?,?,?,?,?,?,?,?,?,?,?,?
249,90690,?,?,?,?,?,?,?,?,?,?,?,?,?
247,89000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92570,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91110,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91340,?,?,?,?,?,?,?,?,?,?,?,?,?
244,89080,?,?,?,?,?,?,?,?,?,?,?,?,?
245,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
246,87720,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91230,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88500,?,?,?,?,?,?,?,?,?,?,?,?,?
250,96060,?,?,?,?,?,?,?,?,?,?,?,?,?
246,94240,?,?,?,?,?,?,?,?,?,?,?,?,?
235,90550,?,?,?,?,?,?,?,?,?,?,?,?,?
235,86690,?,?,?,?,?,?,?,?,?,?,?,?,?
246,86450,?,?,?,?,?,?,?,?,?,?,?,?,?
255,95070,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,46500,?,?,?,?,?,?,?,?,?,?,?,?,?
