@relation 'Station 46001_X150.214.94.234.71.3.25.57_1.arff'

@attribute air numeric
@attribute WVHT numeric

@data
270.461212,1.75
272.105105,2.54
271.945128,4.64
272.907075,5.58
272.107021,5.62
273.042803,4.76
274.341151,3.84
274.614225,3.97
273.865906,3.66
274.323684,3.12
275.17536,2.54
276.070892,3.29
276.241167,3.91
275.343415,3.57
273.614265,5.06
272.184552,5.33
273.063093,4.13
274.43834,4.16
275.485573,3.4
275.342273,4.29
274.575892,4.61
273.022595,4.01
271.098975,4.31
270.699488,?
271.578074,3.75
274.315009,3.87
276.945587,4.74
277.166972,4.17
277.015337,3.87
276.039544,3.24
273.838981,4.7
272.345062,6.12
271.744497,5.8
272.475873,6.02
272.447815,4.59
273.293351,3.6
275.266944,2.64
275.542258,3.69
277.101115,6.91
278.514211,7.15
277.965883,6.49
277.8378,6.38
278.013077,4.8
277.837821,5.08
277.287855,4.68
274.242889,4.74
271.459848,4.71
269.192332,5.18
268.354522,6.24
268.148973,5.14
269.292851,5.33
270.13841,6.48
271.264794,5.8
271.109243,4.73
272.502012,4.49
273.027295,4.17
273.504785,3.91
274.106446,2.65
274.581166,2.82
274.905336,2.22
275.513102,2.23
275.460876,2.08
275.385048,2.12
274.63339,2.48
274.338933,2.8
274.013106,3.05
273.840062,4.09
274.066412,3.79
273.187784,4.97
272.553612,3.03
271.830019,2.61
272.180038,2.64
272.961965,2.57
272.532252,2.65
272.855867,2.67
273.533928,2.74
274.115858,4.05
274.541698,5.67
274.589471,8.02
274.813669,8.05
274.31589,8.06
273.842859,7.85
272.966473,6.52
272.510918,4.71
272.436187,4.32
272.611462,3.97
271.786747,3.26
271.367577,2.96
270.894524,2.94
270.688402,2.58
268.91368,2.02
270.961466,2.05
271.488392,1.92
272.132246,2.29
272.032255,2.41
272.958084,2.48
273.41312,1.97
271.738436,3.7
269.964262,4.32
269.165933,6.01
268.346766,7.11
267.377036,6.94
268.355628,6.34
268.488134,4.53
267.935889,4
267.045639,4.59
266.786739,3.65
268.117014,2.89
270.014479,2.38
272.338097,1.84
274.375318,2.1
275.390054,2.72
275.516984,3.43
275.590052,3.01
274.741724,2.9
274.417535,3.27
274.671956,3.37
276.019184,2.9
276.014192,2.83
277.011969,2.71
276.284473,3.65
276.761981,3.61
275.887829,3.27
275.74115,3.29
275.839483,3.34
275.438906,3.05
275.918635,3.77
276.850035,6.82
276.691154,7.12
276.317543,5.42
276.344468,7.2
275.638959,7.2
275.014254,5.23
275.072041,4.66
273.413176,4.2
272.337868,5.24
272.420333,4.92
271.995037,5.62
272.150572,3.59
274.623074,2.58
276.173104,3.56
277.242248,3.97
277.860883,5.43
276.781161,4.33
276.940037,4.46
277.139463,4.22
276.368085,4.22
276.93559,3.53
277.215316,3.91
277.490025,3.83
277.217531,4.09
278.043365,4.82
278.31478,5.38
278.411975,5.25
278.228376,5.2
277.612533,4.87
277.436154,4.18
276.841136,4.1
277.366428,4.94
277.237812,4.96
277.391137,3.65
276.611432,3.43
276.386135,3.31
276.191156,3.48
276.718095,3.16
276.940051,3.01
276.914218,3.64
276.790615,3.8
276.461434,5.53
276.287249,6.86
276.336142,6.98
276.384485,5.59
276.86864,5.31
277.59226,5.07
277.218659,4.6
276.644473,6.14
276.468639,4.63
276.016958,5.26
275.938353,3.99
276.166959,3.39
276.590568,3.37
276.498339,4.33
276.223083,5.8
276.988365,7.07
276.96141,5.88
276.636119,4.65
277.062509,4.09
276.835034,4.54
276.940585,5.26
277.015866,4.08
275.833374,3.82
276.039465,3.52
276.090026,4.08
275.611423,3.74
275.811416,3.54
276.345022,3.65
276.210288,4.85
276.359178,4.38
276.402529,3.88
275.807525,3.22
275.692814,2.6
276.293917,2.32
276.900586,3.86
276.436135,4.01
276.888361,6.31
276.613091,8.27
276.112543,6.81
276.143926,5.38
276.419746,3.46
276.064187,3.17
276.213644,3.1
275.785594,4.62
275.893368,3.9
275.444476,4.02
274.993926,3.06
273.968101,2.73
273.371436,2.26
272.867555,2.59
273.041156,2.95
273.469753,3.36
274.275295,3.16
274.670287,2.62
275.392802,1.84
276.089457,1.45
276.513642,1.64
276.564193,2.68
276.465286,2.89
276.538928,4.36
277.090568,5.12
276.419204,4.49
276.14391,4.34
275.59005,3.52
274.662569,3.77
273.962593,4.15
271.937335,5.68
270.236776,5.38
269.962045,4.65
270.757037,3.44
270.986738,3.35
271.242848,2.34
271.405601,3.13
271.896704,2.16
273.531958,2.15
276.501134,2.27
275.942253,4.74
276.188356,5.15
275.482807,5.95
274.661419,6.19
274.218103,6.72
273.386717,4.84
272.609239,4.72
271.3362,4.56
270.469791,5.09
269.372008,6.18
268.623126,5.28
269.377852,4.18
271.685599,4.85
272.213666,2.79
272.163637,2.34
274.240544,1.59
275.448886,2.73
276.565853,2.36
276.637797,2.94
276.520294,2.94
276.576975,2.47
275.622521,2.63
275.595591,2.13
275.168081,2.15
274.77142,1.7
274.841702,1.85
274.965331,1.68
274.687861,2.13
273.541757,3.18
272.43895,2.79
273.020859,2.65
272.722554,2.58
272.401702,2.31
271.898931,2.06
270.940071,2.76
270.260914,4.28
269.834527,4.07
269.78119,4.36
270.531755,4.18
271.30536,3.79
272.357026,4.03
273.20427,3.94
273.607602,4.33
273.010394,3.32
271.965914,2.78
271.307044,1.69
271.650353,1.59
271.957008,1.34
272.112018,1.29
272.259772,1.17
272.089487,1.33
273.691174,2.31
274.695595,2.72
275.210314,2.16
274.350904,2.12
274.248682,1.84
272.879533,2.68
272.60369,2.6
271.95701,3
271.633406,3.34
271.36477,4.24
271.063122,3.52
270.911999,3.02
271.4806,2.65
272.110312,3.22
272.558654,2.89
273.330611,3.1
272.905337,2.32
272.495606,2.32
272.363657,1.57
272.986162,1.6
273.513653,1.25
273.866972,1.05
274.142263,0.99
274.013671,1.47
273.666462,1.82
272.341753,?
270.683431,3.33
270.353132,3.1
270.38229,2.91
271.062004,2.74
271.606468,2.34
272.653685,1.96
273.635635,2.26
272.493404,2.03
272.262022,1.57
272.462005,1.38
273.88836,1.42
274.348345,2.18
275.519168,4.25
275.961418,3.79
276.109754,3.67
275.81809,4.19
276.037825,3.24
275.557545,2.67
275.980601,2.05
275.615853,1.72
275.711412,1.36
274.905868,1.47
275.057534,2.06
275.595602,2.26
276.664189,2.53
276.429471,2.02
276.059197,2.17
276.340595,3.02
276.188383,3.56
276.485597,3.18
277.258081,3.29
276.811983,3.14
276.736694,2.95
276.560307,2.68
276.806986,2.6
276.839471,2.85
276.93504,2.92
276.653082,3.26
277.082808,2.71
277.137242,2.62
277.437233,2.4
276.608071,2.54
276.863623,2.72
276.465302,2.61
276.813067,2.2
276.061412,2.13
277.010308,1.63
276.889461,1.77
276.814755,1.73
276.535049,2.2
277.359212,2.62
276.514201,2.68
276.361417,3.61
276.034494,3.89
276.333945,3.75
275.838923,2.99
275.411962,2.61
275.910296,2.6
276.188898,1.94
277.366956,1.98
277.516407,1.74
276.811419,1.83
277.337797,2.62
276.913626,3.21
277.163083,2.71
276.56254,2.59
276.088953,2.43
276.267001,2.13
275.937815,1.8
275.316984,1.43
276.215877,1.37
276.493914,1.18
276.413633,1.04
275.862517,1.35
276.288923,1.34
275.914194,1.17
276.640573,1.14
276.187793,1.4
276.763626,1.94
276.592792,2.37
276.46917,1.79
276.213086,1.77
276.410313,2.3
276.5939,2.07
276.991143,2.12
277.309224,1.75
277.783937,?
277.486696,3.78
277.288364,2.71
277.780037,2.52
277.763087,2.07
277.819734,1.68
277.168069,1.35
276.637255,1.34
277.138353,1.08
277.069179,1.11
277.416967,1.66
277.50864,3.09
277.963095,5.27
277.816421,4.94
277.790039,3.52
277.436683,3.98
277.415317,4.21
277.512537,3.9
277.565303,3.62
277.208643,3.76
277.686698,2.78
277.586148,2.5
277.238349,1.98
277.235581,1.83
277.538917,1.59
277.364196,1.63
277.739472,1.23
277.537802,1.27
277.865301,1.74
277.715308,2.37
277.912536,2.36
278.180026,2.59
278.230592,2.52
278.006959,2.32
278.22891,1.83
278.250317,1.51
278.082248,1.46
278.935569,2.31
278.487246,2.04
278.430036,1.82
278.212542,1.52
278.063075,1.43
277.88669,1.49
277.384467,1.42
277.656422,1.43
277.911411,1.16
277.286147,1.15
276.586695,0.94
277.013624,0.79
277.464715,0.84
277.290562,1.4
277.361404,2.06
277.861414,2.77
278.038899,2.8
277.81529,2.53
278.55752,2.07
278.362527,2.2
279.485002,?
278.714191,2.02
279.385011,1.8
279.435032,1.57
279.555285,?
277.660836,1.1
277.380011,1.11
277.260861,0.99
277.765858,?
277.818092,1.44
277.885037,2.44
278.063645,2.89
278.292797,?
277.841136,3.03
277.782802,2.56
278.190024,2.37
278.966399,?
278.689448,2.1
278.236133,2.56
278.96141,2.32
279.136685,?
278.787249,2
278.531145,2.03
278.210331,2.29
277.563088,?
277.837802,3.51
277.538367,4.13
277.690582,3.26
277.841697,2.2
277.441137,2.07
277.241132,1.58
277.56585,1.19
277.319737,1.26
276.868069,1.23
277.18834,1.32
277.441132,1.78
277.790575,1.76
277.815856,1.83
277.382246,1.42
277.013651,1.24
277.543915,1.21
277.743353,1.23
277.307523,1.31
277.309201,1.44
278.188354,2.28
277.414744,3.21
277.135588,2.65
277.388917,2.32
278.038357,1.64
277.413072,1.75
278.208087,1.65
278.786696,1.82
279.008628,1.86
277.634498,2.3
276.983925,2.08
277.141697,2.06
277.568079,2.36
277.739467,2.92
277.913644,3.35
278.038925,3.93
278.064203,3.67
277.565879,3.5
277.08615,3.64
277.187243,2.94
277.687254,3.31
277.518078,2.95
277.014752,2.57
277.792252,2.5
277.415321,2.38
277.138366,2.97
276.258659,3.54
276.544501,3.11
275.773655,2.53
276.193924,2.59
276.690029,3.06
278.314749,2.99
278.437241,2.75
277.80976,2.18
277.656421,1.74
277.833919,1.57
277.965289,1.48
