@relation 'Station 46001_X150.214.94.234.71.3.2_1.arff'

@attribute air numeric
@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
270.676525,101176.101849,10.9,12.9,1.75,7.69,4.76,?,1007.1,-1.8,4.1,?,?,?,9
272.407313,100675.978236,14.2,17.5,2.54,6.25,4.97,?,1002.4,0,4.1,?,?,?,5
272.298235,100150.423018,16.6,20.5,4.64,7.69,6.45,?,996.7,-0.7,4.1,?,?,?,352
273.28426,99646.276027,16.7,20.6,5.58,8.33,7.38,?,990.1,-0.2,4.1,?,?,?,342
272.369288,99361.831092,15.2,18.5,5.62,10,7.47,?,987.1,-0.4,4.1,?,?,?,310
273.130054,99514.895892,13.1,16.4,4.76,10,7.08,?,990.5,0.2,4.1,?,?,?,287
274.441826,99795.907868,11,13.9,3.84,9.09,6.77,?,994,1.7,4.1,?,?,?,280
274.809815,100119.588671,9.5,11.9,3.97,13.79,7.67,?,997.1,1.9,4.1,?,?,?,255
274.075424,100263.380729,4.6,6.5,3.66,14.81,7.55,?,998.9,1.9,4.1,?,?,?,268
274.521006,100086.038522,5.4,7.1,3.12,12.9,9,?,997.4,2.1,4,?,?,?,79
275.357606,99591.219316,10.3,12.4,2.54,12.9,6.35,?,992.5,3.2,4,?,?,?,73
276.23683,98998.785934,12.5,15.1,3.29,12.12,6.27,?,986.4,3.4,4,?,?,?,54
276.424367,98790.440555,12,14.3,3.91,10.81,6.55,?,982.9,3,4.1,?,?,?,33
275.574929,98574.703672,10.9,13.4,3.57,10.81,6.45,?,981.7,2.2,4,?,?,?,32
273.895768,98670.630899,14.5,17.8,5.06,9.09,6.91,?,982.3,0.8,4,?,?,?,333
272.512324,99156.947323,14.2,17.2,5.33,10,7.17,?,986.4,-0.7,4,?,?,?,314
273.188256,99962.913238,13.5,15.9,4.13,11.43,6.55,?,993.6,0.2,4,?,?,?,295
274.475864,100450.856415,9.9,11.5,4.16,10,6.92,?,1000.8,1.3,4,?,?,?,262
275.570926,100398.329239,15.3,18.7,3.4,7.14,5.84,?,1001,3.2,4,?,?,?,196
275.48941,100424.46531,7.9,9.4,4.29,10,7.33,?,999.8,2.2,4,?,?,?,236
274.746253,100267.613214,1.1,2.5,4.61,10,7.96,?,999.6,0.8,3.9,?,?,?,216
273.309578,100176.109735,12.3,15,4.01,10.81,6.83,?,996.3,-0.2,3.9,?,?,?,330
271.327992,100719.235157,12.4,15.5,4.31,12.9,7.29,?,1001,-1.5,3.9,?,?,?,309
271.617117,100272.81576,9.8,12.4,3.75,12.12,8.25,?,1000.6,-1.6,3.9,?,?,?,90
274.272395,98983.894261,17.6,21.8,3.87,6.67,6.25,?,986.3,0.1,3.9,?,?,?,95
277.010148,97878.170114,9.8,12.2,4.74,9.09,7.36,?,974.1,4.1,3.9,?,?,?,116
277.282414,97277.602973,6.8,8.6,4.17,10,8.05,?,970.3,4.5,3.9,?,?,?,175
277.181561,97140.152633,7.7,9.7,3.87,10.81,7.5,?,967.3,4.6,3.9,?,?,?,172
276.338791,97658.91184,5.6,8.7,3.24,9.09,7.58,?,971,3.7,3.9,?,?,?,271
274.112199,98792.176693,10,12.5,4.7,10,7.47,?,983.1,1.5,3.9,?,?,?,303
272.543054,99691.412136,15,19.3,6.12,12.12,7.97,?,991.8,-2.2,3.8,?,?,?,270
271.868537,100751.8896,14.7,18.4,5.8,12.12,8.24,?,1002,-1.8,3.8,?,?,?,291
272.553622,101628.839381,14,16.3,6.02,11.43,8.17,?,1010.9,-0.8,3.8,?,?,?,287
272.548396,102274.778704,15.2,18.8,4.59,10,6.78,?,1017.3,-0.2,3.8,?,?,?,290
273.355871,102683.420742,7.5,10.7,3.6,10,6.8,?,1023,0.3,3.8,?,?,?,264
275.308766,102629.765021,10.6,13.2,2.64,7.69,6.1,?,1023.5,1.8,3.8,?,?,?,168
275.639185,101898.937532,16.5,20.7,3.69,7.69,6.01,?,1015.8,2,3.8,?,?,?,151
277.100683,100502.087584,18.4,24.5,6.91,10.81,8.36,?,1003,2.7,3.8,?,?,?,146
278.63957,100044.870373,14.2,17.5,7.15,12.9,8.97,?,997,5.2,4,?,?,?,170
278.069464,100502.455997,8.7,11.5,6.49,11.43,9.15,?,1001.6,5.1,4,?,?,?,198
277.935208,100601.988592,7.7,10.3,6.38,12.9,9.19,?,1003.1,4.7,3.9,?,?,?,178
278.076364,100541.644016,7.8,10.1,4.8,13.79,8.82,?,1002.6,4.7,3.9,?,?,?,180
277.949732,100427.737786,11.3,13.2,5.08,13.79,8.43,?,1001.2,5,4,?,?,?,183
277.501839,100349.349137,9,11.3,4.68,12.9,8.52,?,1000.5,4.8,4,?,?,?,189
274.568887,100472.822217,7.5,9,4.74,12.9,8.7,?,1000.2,4,4,?,?,?,214
271.833816,100774.315696,15.3,19.4,4.71,12.9,7.46,?,1001.3,-0.1,4,?,?,?,273
269.532975,101204.108831,13.9,17.4,5.18,11.43,7.46,?,1005.6,-1.6,4,?,?,?,267
268.566544,101413.573016,16,20.2,6.24,9.09,7.96,?,1008.9,-5.3,4,?,?,?,252
268.361831,101601.117999,10.3,13.7,5.14,11.43,7.69,?,1010.5,-4.2,3.9,?,?,?,310
269.491083,101877.436363,13.2,16,5.33,11.43,7.7,?,1013.3,-4.4,3.9,?,?,?,304
270.386703,102168.706395,18.3,22.8,6.48,11.43,7.85,?,1014.6,-2.6,3.7,?,?,?,303
271.473565,102530.803666,15.6,19.8,5.8,10.81,7.89,?,1018.3,-2.3,3.8,?,?,?,318
271.349517,102900.839649,15.9,19.9,4.73,10.81,6.92,?,1023,-1.6,3.9,?,?,?,317
272.753159,103448.886842,13,16.9,4.49,10,6.9,?,1027.9,-0.6,4,?,?,?,326
273.287277,103691.723045,12,15.3,4.17,9.09,6.88,?,1031.2,-0.1,4.1,?,?,?,316
273.710935,103992.149017,9.4,12,3.91,9.09,6.58,?,1034.2,1.4,4.1,?,?,?,337
274.276868,104183.09437,6.3,7.6,2.65,9.09,6.38,?,1037,1.5,4,?,?,?,313
274.794063,104212.586266,10.4,12.2,2.82,7.69,5.78,?,1037.4,0.7,4,?,?,?,308
275.118522,104074.698127,9.4,11.7,2.22,7.69,5.39,?,1035.6,0.6,4,?,?,?,317
275.676734,104017.787585,7.3,9,2.23,9.09,5.75,?,1035.3,2.4,4,?,?,?,343
275.626953,104023.426394,5.7,7.9,2.08,7.14,5.81,?,1035.3,1.9,4,?,?,?,349
275.58042,103756.574445,7.7,9.2,2.12,6.67,5.79,?,1032.4,1.8,3.9,?,?,?,313
274.813729,103598.209711,10.5,13.5,2.48,9.09,5.61,?,1031,1.1,3.9,?,?,?,12
274.480522,103491.670094,11.1,13.7,2.8,8.33,5.59,?,1030.4,1.1,3.9,?,?,?,0
274.182329,103233.314549,11,14,3.05,9.09,6.02,?,1027.6,0.5,4,?,?,?,2
274.005805,103024.815024,12.6,15.8,4.09,10,6.62,?,1021.1,1,3.9,?,?,?,333
274.127923,102678.828576,15.4,19.1,3.79,9.09,6.36,?,1020.6,1.2,4,?,?,?,112
273.231045,102759.950637,14.5,17.6,4.97,9.09,7.31,?,1023.3,0.2,3.8,?,?,?,117
272.626834,102755.984778,9.9,13.4,3.03,7.69,5.91,?,1023.7,-2.1,3.8,?,?,?,103
271.921178,102683.57192,11,12.7,2.61,7.69,5.69,?,1022.7,-1.9,3.7,?,?,?,108
272.306351,102502.263961,11.5,13.7,2.64,9.09,5.82,?,1020.5,-2.7,3.9,?,?,?,55
273.040667,102259.959342,10.2,12.7,2.57,7.69,5.59,?,1018.2,-0.9,3.9,?,?,?,81
272.65943,101786.839303,10.1,11.6,2.65,8.33,5.63,?,1014.1,-1.4,3.8,?,?,?,88
273.007513,101317.838292,10.6,12.6,2.67,7.69,5.57,?,1008.9,0,3.8,?,?,?,87
273.661084,100591.692548,13,15.9,2.74,7.69,5.53,?,1001.6,-0.1,3.8,?,?,?,63
274.214396,99847.689932,16.1,20.3,4.05,8.33,6.33,?,994.1,0.7,3.8,?,?,?,69
274.625995,99171.505634,18.1,22,5.67,10.81,7.69,?,987,0.6,3.8,?,?,?,57
274.697419,98703.692632,18.6,23.1,8.02,12.9,9.02,?,981,0.3,3.7,?,?,?,45
274.972114,98401.017194,17.8,22.7,8.05,13.79,9.3,?,977.4,0.2,3.8,?,?,?,35
274.464636,98178.487198,19.9,24.6,8.06,12.9,8.95,?,974.7,0.4,3.8,?,?,?,17
274.056147,98039.766566,16,20.3,7.85,13.79,9.31,?,974,-0.1,3.8,?,?,?,354
273.235441,97783.69079,11.5,14.7,6.52,13.79,9.17,?,972.8,-0.6,3.8,?,?,?,315
272.766775,97468.247793,10.6,13.4,4.71,12.9,7.78,?,969.9,-0.3,3.7,?,?,?,287
272.679678,97286.509138,11,13.2,4.32,8.33,6.95,?,968.4,-1.1,3.7,?,?,?,258
272.855434,97118.609906,12.1,16.3,3.97,8.33,6.91,?,966.7,-0.9,3.6,?,?,?,240
272.039003,97305.72197,10.5,12.7,3.26,13.79,6.43,?,969.1,-1.4,3.7,?,?,?,261
271.559256,97623.195422,9.8,13.6,2.96,12.9,6.28,?,972.1,-1.4,3.6,?,?,?,226
271.079408,97809.553615,9.9,12.2,2.94,7.14,6.11,?,974,-1.5,3.6,?,?,?,242
270.913912,97998.766148,4.5,6.2,2.58,11.43,6.84,?,976.3,-1.7,3.6,?,?,?,212
269.14243,98252.949413,4.4,6.7,2.02,9.09,7.16,?,977.6,-1.2,3.6,?,?,?,44
271.171463,98298.461787,6.7,8.5,2.05,10.81,5.37,?,977.3,-2.5,3.5,?,?,?,90
271.678196,98051.30344,4.1,5.6,1.92,10,6.1,?,974.8,-0.7,3.4,?,?,?,246
272.261708,97989.75619,8.6,10.1,2.29,13.79,6.61,?,974.5,-1.6,3.3,?,?,?,170
272.162821,97705.222281,7.7,9.6,2.41,12.9,6.62,?,971.9,-0.7,3.4,?,?,?,206
273.068814,97452.548196,5.5,7.5,2.48,12.12,6.54,?,968.4,-1.1,3.5,?,?,?,273
273.597953,97408.778159,8.7,10.8,1.97,11.43,5.78,?,967.2,0.1,3.4,?,?,?,300
272.035833,97723.954143,14.1,17.4,3.7,8.33,6.37,?,972,0.1,3.5,?,?,?,293
270.227322,98217.912649,15.1,18.8,4.32,9.09,6.46,?,977.1,-4.2,3.4,?,?,?,254
