@relation 'Station 46001_X150.214.94.234.71.3.25.57_2.arff'

@attribute air numeric
@attribute WVHT numeric

@data
273,1.75
274.299988,2.54
273.299988,4.64
272.900024,5.58
271.200012,5.62
272.299988,4.76
273.600006,3.84
274,3.97
273.600006,3.66
274.900024,3.12
275.900024,2.54
276.100006,3.29
275.799988,3.91
275.5,3.57
273.700012,5.06
272,5.33
272.100006,4.13
273.200012,4.16
274.299988,3.4
275,4.29
275.5,4.61
274.299988,4.01
271.900024,4.31
270.799988,?
271.700012,3.75
275.700012,3.87
276.700012,4.74
276.600006,4.17
276.600006,3.87
276.200012,3.24
273.700012,4.7
272.200012,6.12
271.400024,5.8
272.600006,6.02
272.5,4.59
272.5,3.6
274.299988,2.64
274.799988,3.69
276.799988,6.91
277.900024,7.15
277.400024,6.49
277,6.38
277,4.8
277.100006,5.08
277.200012,4.68
275.200012,4.74
271.600006,4.71
269.700012,5.18
269.700012,6.24
269,5.14
269.100006,5.33
269.600006,6.48
270.700012,5.8
270.100006,4.73
270.600006,4.49
271.299988,4.17
272,3.91
272.5,2.65
273.100006,2.82
273.299988,2.22
274.600006,2.23
274.299988,2.08
274.299988,2.12
273.299988,2.48
273.400024,2.8
273.299988,3.05
273.200012,4.09
272.900024,3.79
271.600006,4.97
270,3.03
269.700012,2.61
270.400024,2.64
271.600006,2.57
270.700012,2.65
271,2.67
271.900024,2.74
273.299988,4.05
273.700012,5.67
273.700012,8.02
274.200012,8.05
273.900024,8.06
273.700012,7.85
272.799988,6.52
271.700012,4.71
271.600006,4.32
272,3.97
271.400024,3.26
271.5,2.96
271.400024,2.94
270.799988,2.58
269,2.02
270.600006,2.05
271.299988,1.92
270.799988,2.29
270.600006,2.41
271.299988,2.48
272.700012,1.97
271.700012,3.7
269.600006,4.32
269.100006,6.01
268.700012,7.11
268.400024,6.94
269.299988,6.34
270.799988,4.53
269.799988,4
267.799988,4.59
266.200012,3.65
267.900024,2.89
271.5,2.38
273.900024,1.84
274.799988,2.1
274.600006,2.72
275,3.43
274.900024,3.01
274.400024,2.9
273.799988,3.27
274.299988,3.37
275.5,2.9
274.900024,2.83
275.799988,2.71
275,3.65
275.600006,3.61
274.900024,3.27
275,3.29
274.900024,3.34
274.600006,3.05
275.5,3.77
277.299988,6.82
276.600006,7.12
276.200012,5.42
276.200012,7.2
275.600006,7.2
275.400024,5.23
276.299988,4.66
273.799988,4.2
271.900024,5.24
272.5,4.92
271.600006,5.62
272.200012,3.59
274.799988,2.58
276.700012,3.56
276.5,3.97
276.799988,5.43
275.400024,4.33
276.200012,4.46
276.100006,4.22
275.900024,4.22
275.799988,3.53
276.799988,3.91
276.700012,3.83
276.700012,4.09
277.799988,4.82
277.900024,5.38
277.299988,5.25
276.600006,5.2
276.799988,4.87
276.5,4.18
276.299988,4.1
277,4.94
276.5,4.96
276.700012,3.65
275.400024,3.43
275.299988,3.31
275.900024,3.48
276.700012,3.16
276.400024,3.01
276.400024,3.64
276.5,3.8
275.600006,5.53
275.299988,6.86
275.299988,6.98
275.100006,5.59
276.400024,5.31
277.299988,5.07
276.900024,4.6
276.5,6.14
276.299988,4.63
275.299988,5.26
274.799988,3.99
275.200012,3.39
275.600006,3.37
276.200012,4.33
276.5,5.8
276.299988,7.07
275.600006,5.88
275.200012,4.65
275.799988,4.09
275.700012,4.54
276.5,5.26
276.400024,4.08
274.600006,3.82
275,3.52
275.299988,4.08
274.600006,3.74
274.5,3.54
275.900024,3.65
275,4.85
274.799988,4.38
274.299988,3.88
274.299988,3.22
275.400024,2.6
275.799988,2.32
277.299988,3.86
275.299988,4.01
276,6.31
275.700012,8.27
275.100006,6.81
275.799988,5.38
276.200012,3.46
275,3.17
275.299988,3.1
274.600006,4.62
275.400024,3.9
275.100006,4.02
274.400024,3.06
273.5,2.73
273.200012,2.26
272.400024,2.59
272.100006,2.95
272.799988,3.36
274,3.16
273.799988,2.62
274.600006,1.84
274.900024,1.45
275.600006,1.64
275.700012,2.68
275.400024,2.89
275.700012,4.36
276.200012,5.12
276.299988,4.49
275.799988,4.34
275.400024,3.52
274.5,3.77
273.900024,4.15
271.900024,5.68
270.299988,5.38
269.700012,4.65
269.600006,3.44
270.100006,3.35
271,2.34
272.5,3.13
271.799988,2.16
273.900024,2.15
276.900024,2.27
275.400024,4.74
275.299988,5.15
274.100006,5.95
273.799988,6.19
274.299988,6.72
272.799988,4.84
271.700012,4.72
270.900024,4.56
270.5,5.09
269.600006,6.18
269,5.28
268.100006,4.18
270.799988,4.85
271.600006,2.79
270.700012,2.34
272.5,1.59
275.100006,2.73
275.799988,2.36
275.200012,2.94
275.900024,2.94
277,2.47
275.5,2.63
275.400024,2.13
274.799988,2.15
274.700012,1.7
274.200012,1.85
274.400024,1.68
274.400024,2.13
274,3.18
271.799988,2.79
272.600006,2.65
272.900024,2.58
273.100006,2.31
272.299988,2.06
270.600006,2.76
269.700012,4.28
269.299988,4.07
268.700012,4.36
269.400024,4.18
270.100006,3.79
271.400024,4.03
272.299988,3.94
273,4.33
273.100006,3.32
272.299988,2.78
270.799988,1.69
269.799988,1.59
270.799988,1.34
271.900024,1.29
271.299988,1.17
271.5,1.33
273.400024,2.31
274.799988,2.72
274.200012,2.16
272.900024,2.12
272.799988,1.84
271.900024,2.68
271.400024,2.6
270.5,3
270.600006,3.34
270.799988,4.24
270.5,3.52
270.200012,3.02
270.200012,2.65
271,3.22
271.200012,2.89
271.799988,3.1
271.5,2.32
272.799988,2.32
271.900024,1.57
272.100006,1.6
272.799988,1.25
273.5,1.05
273.700012,0.99
273.299988,1.47
273.400024,1.82
272.600006,?
270.200012,3.33
269,3.1
269.299988,2.91
270.5,2.74
270.5,2.34
271.299988,1.96
273.100006,2.26
273,2.03
272.100006,1.57
271.700012,1.38
272.700012,1.42
274,2.18
274.799988,4.25
274.799988,3.79
274.799988,3.67
275.600006,4.19
275,3.24
273.900024,2.67
274.100006,2.05
274.700012,1.72
274.100006,1.36
273.200012,1.47
273.799988,2.06
275.700012,2.26
275.799988,2.53
274.700012,2.02
275,2.17
276,3.02
275.600006,3.56
275.600006,3.18
276,3.29
276.100006,3.14
275.799988,2.95
275.5,2.68
275.400024,2.6
276.100006,2.85
275.700012,2.92
274.600006,3.26
275.5,2.71
275.900024,2.62
276.299988,2.4
275.100006,2.54
275.900024,2.72
275.799988,2.61
275.600006,2.2
274.900024,2.13
275.700012,1.63
276.100006,1.77
275.900024,1.73
