@relation ns.arff

@attribute DATE numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric

@data
1325375400,9,10.9,12.9,1.75,7.69,4.76,?,1007.1,-1.8,4.1,?,?,?
1325379000,11,11.8,14.3,1.86,7.69,4.72,?,1006.5,-1.3,4.1,?,?,?
1325382600,9,12.2,14.8,1.81,5,4.56,?,1005.9,-1,4.1,?,?,?
1325386200,7,13.1,15.7,2.02,4.76,4.54,?,1004.6,-0.8,4.1,?,?,?
1325389800,3,13.8,16.6,2.29,5,4.76,?,1003.9,-0.4,4.1,?,?,?
1325393400,5,14.2,16.8,2.36,5.88,4.82,?,1003.1,-0.1,4.1,?,?,?
1325397000,5,14.2,17.5,2.54,6.25,4.97,?,1002.4,0,4.1,?,?,?
1325400600,4,16,19.9,2.68,6.67,5,?,1001.3,0.3,4.1,?,?,?
1325404200,2,16.1,19.3,3.11,7.14,5.44,?,1000.5,0.1,4.1,?,?,?
1325407800,357,17.5,20.7,3.69,7.69,5.65,?,999.6,0,4.1,?,?,?
1325411400,357,17,21.9,4.12,7.69,6.1,?,998.4,-0.3,4.1,?,?,?
1325415000,354,16.8,21.1,4.74,7.69,6.35,?,997.5,-0.6,4.1,?,?,?
1325418600,352,16.6,20.5,4.64,7.69,6.45,?,996.7,-0.7,4.1,?,?,?
1325422200,345,17,20.7,4.87,7.69,6.61,?,995.8,-0.5,4.1,?,?,?
1325425800,346,16.5,19.9,4.94,9.09,6.88,?,994.3,-0.5,4.1,?,?,?
1325429400,340,16.8,21.1,5.66,8.33,7.14,?,992.8,-0.3,4.1,?,?,?
1325433000,342,15.7,19.9,5.38,9.09,7.34,?,991.7,0,4.1,?,?,?
1325436600,336,16.3,21.2,5.52,9.09,7.28,?,990.7,-0.2,4.1,?,?,?
1325440200,342,16.7,20.6,5.58,8.33,7.38,?,990.1,-0.2,4.1,?,?,?
1325443800,330,16.6,20.5,5.75,9.09,7.53,?,989.3,-0.4,4.1,?,?,?
1325447400,328,15.6,20.2,5.9,9.09,7.57,?,988.5,-0.2,4.1,?,?,?
1325451000,328,15.4,18.6,5.4,9.09,7.42,?,987.9,-0.2,4.1,?,?,?
1325454600,323,15.9,19.2,5.55,9.09,7.29,?,987.3,-0.3,4.1,?,?,?
1325458200,313,15.9,19.8,5.92,10,7.68,?,987,-0.5,4.1,?,?,?
1325461800,310,15.2,18.5,5.62,10,7.47,?,987.1,-0.4,4.1,?,?,?
1325465400,306,15.4,18.6,5.61,9.09,7.55,?,987.6,-0.4,4.1,?,?,?
1325469000,303,15.7,19.3,5.59,10,7.33,?,987.8,-0.5,4.1,?,?,?
1325472600,301,15.4,19.4,5.63,10,7.6,?,988,0.2,4.1,?,?,?
1325476200,297,15.4,19.6,5.13,10,7.16,?,988.7,0.2,4.1,?,?,?
1325479800,292,13.9,17.7,5.31,9.09,7.33,?,989.8,-0.1,4.1,?,?,?
1325483400,287,13.1,16.4,4.76,10,7.08,?,990.5,0.2,4.1,?,?,?
1325494200,260,8.3,10.2,4.18,9.09,6.77,?,992.1,0.8,4.1,?,?,?
1325497800,255,8.9,10.9,3.75,10,6.73,?,992.3,0.6,4.1,?,?,?
1325501400,276,10.8,14.1,3.72,9.09,6.83,?,993,0.3,4.1,?,?,?
1325505000,280,11,13.9,3.84,9.09,6.77,?,994,1.7,4.1,?,?,?
1325508600,268,10.9,13.4,4.19,14.81,6.92,?,994.9,1.9,4.1,?,?,?
1325512200,255,9.7,12.4,3.95,13.79,7.09,?,995.4,2.2,4.1,?,?,?
1325515800,263,10,12.9,3.73,13.79,7.37,?,995.5,2.5,4.1,?,?,?
1325519400,240,10.3,12.4,4.14,12.9,7.7,?,995.8,1.2,4.1,?,?,?
1325523000,235,8.9,12,3.8,13.79,7.35,?,996.5,2,4.1,?,?,?
1325526600,255,9.5,11.9,3.97,13.79,7.67,?,997.1,1.9,4.1,?,?,?
1325530200,262,7.8,10.4,3.55,13.79,7.35,?,997.9,1.8,4.1,?,?,?
1325533800,272,7.5,9.5,3.44,13.79,7.31,?,998.8,2.2,4.1,?,?,?
1325537400,262,7.7,9.6,3.56,14.81,7.35,?,999,2,4.1,?,?,?
1325541000,264,7.3,9.4,3.41,14.81,7.24,?,999,2.3,4.1,?,?,?
1325544600,268,6.4,8.6,3.4,13.79,7.41,?,998.8,2.2,4.1,?,?,?
1325548200,268,4.6,6.5,3.66,14.81,7.55,?,998.9,1.9,4.1,?,?,?
1325551800,290,2.9,5,3.33,14.81,7.73,?,998.9,1.7,4.1,?,?,?
1325555400,318,2,3.8,3.44,14.81,8.25,?,998.8,1.6,4.1,?,?,?
1325559000,26,1.7,3,3.02,13.79,7.54,?,998.6,1.6,4.1,?,?,?
1325562600,42,3,4.1,3.17,12.9,8.3,?,998.3,1.8,4,?,?,?
1325566200,65,4.1,5.4,3.08,13.79,8.66,?,998,2,4,?,?,?
1325569800,79,5.4,7.1,3.12,12.9,9,?,997.4,2.1,4,?,?,?
1325573400,66,6.6,8.1,2.87,13.79,8.43,?,997,2,4,?,?,?
1325577000,74,6.9,8.8,3.1,13.79,8.88,?,996.3,2.2,4,?,?,?
1325580600,67,7.2,8.6,2.87,12.9,8.09,?,995.4,2.4,4,?,?,?
1325584200,86,7.6,9.6,2.96,13.79,8.02,?,994.5,2.8,4,?,?,?
1325587800,79,9.1,11.2,2.97,12.9,7.51,?,993.5,3.1,4,?,?,?
1325591400,73,10.3,12.4,2.54,12.9,6.35,?,992.5,3.2,4,?,?,?
1325595000,71,9.9,12.3,2.84,12.9,6.57,?,991.7,3.3,4.1,?,?,?
1325598600,65,10.9,12.6,2.61,12.9,6.37,?,990.6,3.4,4.1,?,?,?
1325602200,52,10.3,12.4,2.72,12.9,5.88,?,989.2,2.8,4.1,?,?,?
1325605800,56,12.3,14.5,2.98,5.88,5.88,?,987.9,3.3,4,?,?,?
1325609400,55,12.1,13.8,3.09,12.12,6.18,?,987,3.2,4,?,?,?
1325613000,54,12.5,15.1,3.29,12.12,6.27,?,986.4,3.4,4,?,?,?
1325616600,51,13.2,15.7,3.71,6.67,6.42,?,986,3.3,4.1,?,?,?
1325620200,48,10.8,13.8,3.62,7.14,6.33,?,985.7,2.7,4.1,?,?,?
1325623800,42,13,15,3.45,7.69,6.25,?,984.8,3.4,4.1,?,?,?
1325627400,43,13.1,15,3.92,10,6.6,?,984,3.2,4.1,?,?,?
1325631000,40,13.3,17.1,4,9.09,6.58,?,983.2,3,4.1,?,?,?
1325634600,33,12,14.3,3.91,10.81,6.55,?,982.9,3,4.1,?,?,?
1325638200,36,12.6,14.6,4.17,10.81,6.81,?,982.7,3.3,4.1,?,?,?
1325641800,30,12.4,14.6,3.93,10.81,6.59,?,982.7,3.3,4.1,?,?,?
1325645400,32,12.3,15.1,3.74,10.81,6.55,?,982.1,3.5,4.1,?,?,?
1325649000,30,11.9,14.1,3.99,10.81,6.86,?,981.8,3.4,4,?,?,?
1325652600,26,11.1,13.8,4.08,10,7.05,?,981.9,3.4,4,?,?,?
1325656200,32,10.9,13.4,3.57,10.81,6.45,?,981.7,2.2,4,?,?,?
1325659800,20,11.7,14.8,3.64,10,6.57,?,981.1,3.4,4,?,?,?
1325663400,15,12.6,16,4.05,10,6.88,?,981,3.1,4,?,?,?
1325667000,357,15.2,18.5,3.81,10.81,6.29,?,981.2,2.2,4,?,?,?
1325670600,342,15.4,19.3,4.64,9.09,6.7,?,981.8,1.5,4,?,?,?
1325674200,341,14.1,17.9,4.59,8.33,6.57,?,982.3,0.9,4,?,?,?
1325677800,333,14.5,17.8,5.06,9.09,6.91,?,982.3,0.8,4,?,?,?
1325681400,333,14.8,18,5.31,10,7.14,?,982.4,0.6,4,?,?,?
1325685000,332,13.5,17.4,5.1,8.33,6.98,?,982.9,0.3,4,?,?,?
1325688600,319,14.1,17.3,5.11,9.09,7.1,?,983.4,-0.1,4,?,?,?
1325692200,315,15.3,19.5,5.35,10,7.34,?,984.1,-0.6,4,?,?,?
1325695800,316,14.5,18,5.18,10,7.25,?,985.2,-0.6,4,?,?,?
1325699400,314,14.2,17.2,5.33,10,7.17,?,986.4,-0.7,4,?,?,?
1325703000,312,14.7,18.1,5.11,10,7.19,?,987.5,-0.6,4,?,?,?
1325706600,308,14.1,17.2,4.84,10,7.11,?,988.9,-0.7,4,?,?,?
1325710200,307,13.5,16.8,4.35,10.81,6.76,?,990.2,-0.6,4,?,?,?
1325713800,306,15.2,18.8,5.02,10,7.25,?,991.4,-0.8,4,?,?,?
1325717400,298,14.7,18.7,4.53,8.33,6.75,?,992.6,-0.4,4,?,?,?
1325721000,295,13.5,15.9,4.13,11.43,6.55,?,993.6,0.2,4,?,?,?
1325724600,300,13.2,16.4,4.77,10.81,7.02,?,994.8,0.9,4,?,?,?
1325728200,291,13.8,16.7,4.5,10,7.11,?,996,1.5,4,?,?,?
1325731800,293,12.5,16,4.36,10.81,6.94,?,997.2,1.8,4,?,?,?
1325735400,289,12.5,14.9,4.73,10,7.04,?,998.5,1.7,4,?,?,?
1325739000,279,11.1,13.5,4.15,10,6.97,?,999.8,1.4,4,?,?,?
1325742600,262,9.9,11.5,4.16,10,6.92,?,1000.8,1.3,4,?,?,?
1325746200,245,10.3,12.2,4.36,10,7.16,?,1001.6,1.4,4,?,?,?
1325749800,224,10.2,12.4,3.51,8.33,6.54,?,1002.1,1.8,4,?,?,?
1325753400,216,11.9,14.1,3.08,9.09,6.21,?,1002,2.1,4,?,?,?
1325757000,202,12.5,15.2,3.17,7.69,5.9,?,1001.8,2.5,4,?,?,?
1325760600,198,14.7,17.6,2.98,6.25,5.85,?,1001.5,2.8,4,?,?,?
1325764200,196,15.3,18.7,3.4,7.14,5.84,?,1001,3.2,4,?,?,?
1325767800,194,14.6,19.5,3.85,7.69,6.21,?,1000.6,2.6,4,?,?,?
1325771400,186,16.3,19.7,3.96,7.69,6.18,?,1000.1,2.3,4,?,?,?
1325775000,174,14.2,17.4,4.06,9.09,6.39,?,999.2,2.1,4,?,?,?
1325778600,178,14,16.8,4.62,9.09,6.89,?,998,2.3,4,?,?,?
1325782200,265,10.2,12.2,4.85,10,7.23,?,998.6,1.6,4,?,?,?
1325785800,236,7.9,9.4,4.29,10,7.33,?,999.8,2.2,4,?,?,?
1325789400,222,8,10.7,3.91,10,7.02,?,1000.5,2.6,3.9,?,?,?
1325793000,241,6.6,8.2,4.06,9.09,7.48,?,1001.3,1.4,3.9,?,?,?
